,age,sexe,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
100,32 ans,Homme,59733,60547,61867,63358,64372,63642,61917,59873,58122,58436,57138,56338,54997,53376,52699,52201,52122,53074,53787
101,32 ans,Femme,56556,57935,59316,61109,62481,62162,61244,60245,59029,58535,57305,56358,55053,53288,52381,51914,52057,52872,53426
102,33 ans,Sexe - Total,113739,116679,119001,121595,124474,126387,125996,123768,121000,120415,118643,116031,113661,111118,108082,106517,106258,106373,107603
103,33 ans,Homme,58660,59742,60753,61985,63258,63965,63731,62237,60322,60342,59360,57984,56828,55580,54227,53556,53369,53289,53910
104,33 ans,Femme,55079,56937,58248,59610,61216,62422,62265,61531,60678,60073,59283,58047,56833,55538,53855,52961,52889,53084,53693
105,34 ans,Sexe - Total,112075,114038,117184,119307,121561,124078,126506,126490,124525,123593,121732,120081,116858,114637,112248,109291,108408,108201,107962
106,34 ans,Homme,57958,58609,59907,60865,61875,62888,63991,63971,62603,62169,61053,60112,58424,57392,56292,54942,54592,54460,54097
107,34 ans,Femme,54117,55429,57277,58442,59686,61190,62515,62519,61922,61424,60679,59969,58434,57245,55956,54349,53816,53741,53865
108,35 ans,Sexe - Total,110600,112237,114306,117404,119245,120969,123961,126813,127091,126586,124679,122964,120909,117690,115586,113396,110931,110197,109490
109,35 ans,Homme,57229,57859,58652,59923,60717,61424,62803,64174,64277,64034,62690,61754,60488,58930,58019,56997,55857,55486,55099
110,35 ans,Femme,53371,54378,55654,57481,58528,59545,61158,62639,62814,62552,61989,61210,60421,58760,57567,56399,55074,54711,54391
111,36 ans,Sexe - Total,108024,110605,112411,114387,117147,118718,120755,124034,127115,128372,127454,125861,123582,121635,118652,116633,115037,112482,111357
112,36 ans,Homme,55874,57054,57887,58608,59644,60260,61225,62799,64295,65156,64457,63333,62006,60870,59513,58643,57901,56702,56103
113,36 ans,Femme,52150,53551,54524,55779,57503,58458,59530,61235,62820,63216,62997,62528,61576,60765,59139,57990,57136,55780,55254
114,37 ans,Sexe - Total,105482,108006,110734,112388,114183,116497,118393,120781,124360,128662,129422,128438,126507,124215,122523,119606,118117,116565,113600
115,37 ans,Homme,54229,55676,57047,57798,58387,59154,60041,61187,62954,65368,65723,65020,63646,62331,61416,60143,59433,58710,57314
116,37 ans,Femme,51253,52330,53687,54590,55796,57343,58352,59594,61406,63294,63699,63418,62861,61884,61107,59463,58684,57855,56286
117,38 ans,Sexe - Total,103400,105410,107987,110635,112033,113578,116089,118359,121029,125593,129364,130336,128950,126976,124957,123316,121074,119571,117698
118,38 ans,Homme,52846,53978,55548,56882,57462,57889,58855,59930,61276,63743,65704,66234,65304,63900,62840,61937,60891,60209,59292
119,38 ans,Femme,50554,51432,52439,53753,54571,55689,57234,58429,59753,61850,63660,64102,63646,63076,62117,61379,60183,59362,58406
120,39 ans,Sexe - Total,102436,103207,105332,107814,110269,111431,113216,116028,118500,121972,126155,130215,130800,129348,127678,125711,124667,122370,120436
121,39 ans,Homme,52101,52570,53839,55313,56512,56972,57635,58791,59972,61807,63957,66134,66445,65581,64436,63355,62677,61638,60668
122,39 ans,Femme,50335,50637,51493,52501,53757,54459,55581,57237,58528,60165,62198,64081,64355,63767,63242,62356,61990,60732,59768
123,40 ans,Sexe - Total,101177,102262,103148,105212,107435,109542,110963,113033,116101,119609,122636,126839,130586,131169,130072,128341,126980,125924,123334
124,40 ans,Homme,51494,51844,52411,53630,54987,55972,56620,57483,58766,60574,62156,64282,66298,66652,66032,64824,64019,63402,62144
125,40 ans,Femme,49683,50418,50737,51582,52448,53570,54343,55550,57335,59035,60480,62557,64288,64517,64040,63517,62961,62522,61190
126,41 ans,Sexe - Total,101449,100879,102113,102979,104782,106760,109151,110800,113009,116402,119646,123184,127128,130915,131675,130628,129530,128129,126747
127,41 ans,Homme,51706,51126,51662,52234,53283,54466,55692,56480,57414,58934,60596,62427,64436,66489,66995,66354,65527,64592,63829
128,41 ans,Femme,49743,49753,50451,50745,51499,52294,53459,54320,55595,57468,59050,60757,62692,64426,64680,64274,64003,63537,62918
129,42 ans,Sexe - Total,102887,101118,100667,101859,102475,104136,106449,108958,110663,113913,117045,120178,123340,127409,131537,132216,131635,130607,128916
130,42 ans,Homme,52449,51371,50947,51447,51832,52817,54241,55513,56307,57901,59260,60856,62457,64589,66936,67382,66901,66077,64990
131,42 ans,Femme,50438,49747,49720,50412,50643,51319,52208,53445,54356,56012,57785,59322,60883,62820,64601,64834,64734,64530,63926
132,43 ans,Sexe - Total,103312,102431,100851,100429,101478,101866,103756,106211,108919,111506,114157,117587,120349,123473,127789,131948,133301,132641,131282
133,43 ans,Homme,52444,52055,51160,50751,51140,51338,52507,54036,55421,56790,57985,59531,60890,62502,64864,67211,68001,67510,66400
134,43 ans,Femme,50868,50376,49691,49678,50338,50528,51249,52175,53498,54716,56172,58056,59459,60971,62925,64737,65300,65131,64882
135,44 ans,Sexe - Total,103841,102926,102174,100557,99935,100808,101471,103540,105968,109675,111836,114570,117708,120450,123868,128185,132885,134120,133236
136,44 ans,Homme,52706,52106,51847,50971,50422,50660,51044,52311,53841,55826,56919,58213,59612,60941,62769,65078,67684,68380,67790
137,44 ans,Femme,51135,50820,50327,49586,49513,50148,50427,51229,52127,53849,54917,56357,58096,59509,61099,63107,65201,65740,65446
138,45 ans,Sexe - Total,103414,103361,102609,101922,100098,99330,100385,101217,103374,106716,109766,112068,114643,117850,120731,124144,128975,133688,134667
139,45 ans,Homme,52525,52311,51866,51675,50622,49968,50357,50831,52181,54380,55904,57048,58164,59649,61122,62993,65533,68099,68670
140,45 ans,Femme,50889,51050,50743,50247,49476,49362,50028,50386,51193,52336,53862,55020,56479,58201,59609,61151,63442,65589,65997
141,46 ans,Sexe - Total,101934,102893,102902,102237,101404,99474,98952,100119,100982,103821,106644,109909,112028,114611,118093,120990,124906,129728,134188
142,46 ans,Homme,51991,52140,51987,51593,51362,50229,49747,50204,50670,52563,54307,55967,56981,58134,59798,61309,63433,65957,68349
143,46 ans,Femme,49943,50753,50915,50644,50042,49245,49205,49915,50312,51258,52337,53942,55047,56477,58295,59681,61473,63771,65839
144,47 ans,Sexe - Total,99755,101380,102451,102509,101682,100701,98930,98611,99862,101250,103736,106800,109906,111904,114750,118168,121493,125408,130010
145,47 ans,Homme,50939,51616,51875,51759,51241,50881,49878,49529,50025,50904,52453,54428,55925,56866,58234,59892,61525,63660,66080
146,47 ans,Femme,48816,49764,50576,50750,50441,49820,49052,49082,49837,50346,51283,52372,53981,55038,56516,58276,59968,61748,63930
147,48 ans,Sexe - Total,97852,99187,100952,102064,101889,100938,100102,98587,98345,100113,101270,103791,106686,109757,111941,114716,118609,122001,125724
148,48 ans,Homme,49632,50512,51308,51611,51378,50773,50481,49664,49375,50320,50929,52466,54328,55846,56910,58197,60075,61770,63771
149,48 ans,Femme,48220,48675,49644,50453,50511,50165,49621,48923,48970,49793,50341,51325,52358,53911,55031,56519,58534,60231,61953
150,49 ans,Sexe - Total,94664,97153,98643,100418,101391,101113,100283,99673,98209,98376,99898,101203,103611,106434,109630,111830,115029,118899,122174
151,49 ans,Homme,47979,49147,50170,51001,51181,50879,50384,50228,49450,49484,50185,50912,52394,54193,55827,56858,58354,60209,61834
152,49 ans,Femme,46685,48006,48473,49417,50210,50234,49899,49445,48759,48892,49713,50291,51217,52241,53803,54972,56675,58690,60340
153,50 ans,Sexe - Total,89932,93952,96627,98134,99693,100607,100476,99828,99237,98194,98168,99748,100962,103378,106365,109430,111998,115264,118942
154,50 ans,Homme,45373,47514,48813,49843,50572,50721,50494,50091,49917,49583,49378,50066,50720,52246,54211,55733,56920,58464,60199
155,50 ans,Femme,44559,46438,47814,48291,49121,49886,49982,49737,49320,48611,48790,49682,50242,51132,52154,53697,55078,56800,58743
156,51 ans,Sexe - Total,84442,89167,93396,96003,97359,98839,99868,99959,99308,98901,97798,97933,99373,100554,103098,106070,109607,112153,115195
157,51 ans,Homme,42292,44896,47162,48443,49377,50068,50294,50211,49816,49880,49302,49195,49816,50487,52106,54061,55843,57007,58387
158,51 ans,Femme,42150,44271,46234,47560,47982,48771,49574,49748,49492,49021,48496,48738,49557,50067,50992,52009,53764,55146,56808
159,52 ans,Sexe - Total,80967,83697,88648,92806,95229,96508,98182,99320,99336,99301,98732,97506,97530,98998,100285,102701,106038,109616,112078
160,52 ans,Homme,40428,41771,44546,46798,47953,48854,49688,49980,49845,49931,49750,49153,48963,49599,50351,51898,54049,55811,56919
161,52 ans,Femme,40539,41926,44102,46008,47276,47654,48494,49340,49491,49370,48982,48353,48567,49399,49934,50803,51989,53805,55159
162,53 ans,Sexe - Total,78801,80140,83040,88004,91979,94335,95755,97553,98674,99234,98797,98388,97072,97070,98574,99894,102688,105950,109383
163,53 ans,Homme,39311,39916,41363,44136,46290,47413,48378,49293,49577,49795,49574,49566,48888,48668,49364,50181,51871,53934,55641
164,53 ans,Femme,39490,40224,41677,43868,45689,46922,47377,48260,49097,49439,49223,48822,48184,48402,49210,49713,50817,52016,53742
165,54 ans,Sexe - Total,76337,77901,79456,82408,87102,91023,93431,95018,96858,98256,98616,98482,97951,96588,96654,98069,99700,102553,105714
166,54 ans,Homme,37971,38709,39468,40997,43611,45718,46907,47948,48850,49323,49412,49364,49280,48568,48427,49053,50012,51781,53764
167,54 ans,Femme,38366,39192,39988,41411,43491,45305,46524,47070,48008,48933,49204,49118,48671,48020,48227,49016,49688,50772,51950
168,55 ans,Sexe - Total,75423,75437,77180,78735,81537,86174,90188,92713,94297,96293,97639,98180,97867,97341,96092,96049,97746,99373,102113
169,55 ans,Homme,37374,37411,38246,39022,40462,43036,45199,46458,47514,48634,48995,49128,48983,48907,48294,48094,48903,49842,51490
170,55 ans,Femme,38049,38026,38934,39713,41075,43138,44989,46255,46783,47659,48644,49052,48884,48434,47798,47955,48843,49531,50623
171,56 ans,Sexe - Total,75358,74396,74615,76470,77831,80554,85230,89395,91944,93426,95554,97060,97493,97193,96682,95384,95733,97459,98975
172,56 ans,Homme,37222,36719,36906,37833,38483,39870,42450,44738,46010,47016,48140,48662,48706,48556,48520,47895,47883,48739,49609
173,56 ans,Femme,38136,37677,37709,38637,39348,40684,42780,44657,45934,46410,47414,48398,48787,48637,48162,47489,47850,48720,49366
174,57 ans,Sexe - Total,74331,74309,73576,73823,75441,76725,79590,84449,88573,91119,92743,94899,96356,96744,96476,95934,94959,95305,96964
175,57 ans,Homme,36617,36519,36217,36450,37221,37831,39303,41996,44236,45578,46622,47730,48220,48254,48130,48082,47638,47638,48415
176,57 ans,Femme,37714,37790,37359,37373,38220,38894,40287,42453,44337,45541,46121,47169,48136,48490,48346,47852,47321,47667,48549
