annee,canton,Total,Constructions,Améliorations,Acquisition,Entretien Construction,Entretien Exploitation,Administration,Surveillance Policiere,Depense_habitants
2000,Appenzell Rh.-Ext.,13983.0,584,2603,348,2053,7500,894.0,0,263
2000,Appenzell Rh.-Int.,4277.0,123,1108,6,921,1794,248.0,77,292
2000,Argovie,158957.0,15680,33753,1790,23519,68547,9491.0,6175,294
2000,Berne,290192.0,10622,50221,2050,25839,151222,18251.0,31989,305
2000,Bâle-Campagne,71216.0,5898,15827,400,4134,38075,6013.0,869,277
2000,Bâle-Ville   2),7435.0,997,831,209,547,4082,768.0,0,347
2000,Espace Mittelland,508295.0,45320,91321,3096,42419,255873,30556.0,39715,303
2000,Fribourg,71284.0,14335,15314,777,4921,31382,3679.0,876,301
2000,Genève,105097.0,4950,14133,759,16226,49406,6504.0,13119,257
2000,Glaris,10686.0,528,2632,536,1208,5193,588.0,0,283
2000,Grisons,96054.0,12373,29075,4,10057,34962,4198.0,5385,511
2000,Jura,23561.0,3220,8194,-190,1000,9367,1184.0,787,351
2000,Lucerne,94626.0,7437,22676,349,12714,41429,6152.0,3869,274
2000,Neuchâtel,66473.0,7657,7937,261,4376,37605,4312.0,4325,400
2000,Nidwald,6827.0,384,2268,14,485,3290,338.0,49,185
2000,Obwald,8792.0,452,1256,22,1532,4903,606.0,21,273
2000,Région lémanique,447145.0,39071,69460,6143,40419,225846,25275.0,40930,344
2000,Saint-Gall,149590.0,8185,36298,1228,25172,66679,9141.0,2887,334
2000,Schaffhouse,26217.0,935,8860,158,2631,9543,1610.0,2480,360
2000,Schwytz,33462.0,1982,10419,353,5216,13072,2312.0,109,261
2000,Soleure,56785.0,9486,9655,198,6283,26297,3129.0,1738,234
2000,Suisse centrale,180011.0,13435,44799,1305,24951,78159,11045.0,6319,266
2000,Suisse du Nord-Ouest,237608.0,22575,50411,2399,28200,110704,16272.0,7044,290
2000,Suisse orientale,363736.0,33942,97093,3201,48174,149685,20151.0,11488,349
2000,Tessin,69461.0,8498,10129,1927,5106,31543,5190.0,7068,237
2000,Thurgovie,62929.0,11214,16517,921,6132,24014,3472.0,659,277
2000,Total,2227829.0,173381,450614,20456,229183,1051783,137846.0,164567,310
2000,Uri,4063.0,15,1182,20,580,1997,269.0,0,118
2000,Valais,103935.0,15855,20111,4123,9047,45699,5260.0,3839,398
2000,Vaud,238113.0,18266,35216,1261,15146,130741,13511.0,23972,379
2000,Zoug,32241.0,3165,6998,547,4424,13468,1368.0,2271,327
2000,Zurich,421574.0,10540,87401,2381,39915,199973,29361.0,52003,345
2001,Appenzell Rh.-Ext.,12371.0,436,2323,10,1688,7147,767.0,0,234
2001,Appenzell Rh.-Int.,4181.0,76,1372,142,657,1652,215.0,66,284
2001,Argovie,122294.0,7658,25804,1166,17435,57953,7139.0,5140,224
2001,Berne,284251.0,12712,44254,2254,19115,159176,16690.0,30049,298
2001,Bâle-Campagne,74916.0,7520,12421,1318,3865,41960,6580.0,1252,290
2001,Bâle-Ville   2),7387.0,1465,441,88,507,4085,801.0,0,336
2001,Espace Mittelland,494503.0,34478,88581,3227,31984,269598,27926.0,38709,296
2001,Fribourg,65102.0,5805,14535,278,4349,35549,3519.0,1067,271
2001,Genève,114516.0,7667,14134,346,7026,67538,3597.0,14208,276
2001,Glaris,9259.0,870,1608,90,877,5326,489.0,0,244
2001,Grisons,114640.0,11060,27469,2213,12172,51590,4154.0,5983,609
2001,Jura,24424.0,4610,7152,64,882,9685,1194.0,838,363
2001,Lucerne,90249.0,8059,17591,1148,7047,47141,5124.0,4139,259
2001,Neuchâtel,58523.0,2796,10891,106,1934,34396,3343.0,5057,351
2001,Nidwald,8891.0,1003,3226,31,392,3811,376.0,51,238
2001,Obwald,8017.0,115,581,65,1466,5201,561.0,28,247
2001,Région lémanique,460602.0,35685,68995,3810,23181,268254,18334.0,42343,351
2001,Saint-Gall,154416.0,5496,36452,1551,23513,74863,9236.0,3305,342
2001,Schaffhouse,22205.0,1133,4970,220,1408,10812,1621.0,2041,305
2001,Schwytz,35146.0,4418,8122,262,4944,14743,2620.0,38,270
2001,Soleure,62203.0,8555,11749,525,5704,30792,3180.0,1698,256
2001,Suisse centrale,177075.0,16128,34083,1626,18665,90420,9955.0,6196,259
2001,Suisse du Nord-Ouest,204597.0,16643,38666,2572,21807,103998,14520.0,6392,247
2001,Suisse orientale,383120.0,30962,90187,5798,45988,177911,20229.0,12046,367
2001,Tessin,82919.0,8378,13436,1754,5513,42371,4593.0,6874,284
2001,Thurgovie,66048.0,11891,15993,1572,5673,26521,3747.0,651,290
2001,Total,2237517.0,155018,414042,20913,193229,1165951,122087.0,166277,317
2001,Uri,3695.0,120,593,-7,511,2182,294.0,0,108
2001,Valais,93567.0,10662,15430,2518,8589,47554,4872.0,3942,356
2001,Vaud,252519.0,17356,39431,946,7566,153162,9865.0,24193,398
2001,Zoug,31077.0,2413,3970,127,4305,17342,980.0,1940,310
2001,Zurich,434701.0,12744,80094,2126,46091,213399,26530.0,53717,351
2002,Appenzell Rh.-Ext.,12779.0,254,2394,3,2111,7310,707.0,0,242
2002,Appenzell Rh.-Int.,4653.0,84,2201,42,629,1399,225.0,72,316
2002,Argovie,125068.0,9461,29540,2281,16635,53402,7255.0,6493,226
2002,Berne,291949.0,18604,49917,2059,18062,155983,16724.0,30600,305
2002,Bâle-Campagne,68316.0,6839,7683,534,3859,41908,6404.0,1090,262
2002,Bâle-Ville   2),5641.0,353,291,81,700,3444,773.0,0,261
2002,Espace Mittelland,506750.0,38326,96761,3820,32413,268017,27607.0,39804,301
2002,Fribourg,67736.0,7550,16385,599,4398,34311,3424.0,1067,277
2002,Genève,125040.0,9120,16829,675,7828,70594,3856.0,16138,296
2002,Glaris,9430.0,529,2436,61,822,5115,469.0,0,250
2002,Grisons,98980.0,6804,24228,920,8531,48872,4410.0,5215,523
2002,Jura,22458.0,2000,8449,294,778,8938,1109.0,891,332
2002,Lucerne,82349.0,6501,15981,817,8728,41279,4894.0,4148,234
2002,Neuchâtel,64469.0,3491,10367,212,3304,38393,3324.0,5378,388
2002,Nidwald,6894.0,511,2007,101,347,3534,333.0,60,182
2002,Obwald,10399.0,184,2237,38,1524,5739,675.0,2,317
2002,Région lémanique,461890.0,31639,72694,2233,24503,266129,18888.0,45804,349
2002,Saint-Gall,164525.0,5398,40914,1634,25391,77980,9871.0,3337,361
2002,Schaffhouse,20165.0,810,2955,213,1383,12984,1819.0,0,274
2002,Schwytz,26197.0,879,5239,1007,3901,12690,2443.0,38,198
2002,Soleure,60138.0,6681,11643,656,5871,30392,3026.0,1868,246
2002,Suisse centrale,155807.0,10072,28692,2460,19365,81314,9511.0,4391,226
2002,Suisse du Nord-Ouest,199025.0,16653,37514,2896,21194,98754,14432.0,7583,238
2002,Suisse orientale,376765.0,24377,90990,4498,44776,181647,21208.0,9270,358
2002,Tessin,95182.0,8753,18667,3531,6388,46915,4093.0,6836,318
2002,Thurgovie,66233.0,10498,15862,1625,5909,27987,3707.0,646,288
2002,Total,2260873.0,157488,422030,23245,204778,1168854,116503.0,167975,309
2002,Uri,4004.0,477,427,126,625,2078,271.0,0,117
2002,Valais,98788.0,7738,20208,1334,7590,52622,4949.0,4347,369
2002,Vaud,238062.0,14781,35657,224,9085,142913,10083.0,25319,376
2002,Zoug,25964.0,1520,2801,371,4240,15994,895.0,143,254
2002,Zurich,465456.0,27667,76714,3808,56139,226078,20764.0,54287,370
2003,Appenzell Rh.-Ext.,13247.0,323,2673,47,1785,7678,742.0,0,251
2003,Appenzell Rh.-Int.,4628.0,275,1240,100,737,1956,251.0,68,315
2003,Argovie,131676.0,8933,28257,1900,18191,59774,7365.0,7255,236
2003,Berne,264686.0,15514,49625,2148,20183,134722,13323.0,29171,275
2003,Bâle-Campagne,71394.0,5713,10096,289,4522,42971,6491.0,1313,272
2003,Bâle-Ville   2),7321.0,951,1364,108,960,3406,532.0,0,336
2003,Espace Mittelland,469125.0,27500,84905,3789,33394,255586,24874.0,39075,277
2003,Fribourg,64804.0,2845,13686,313,4016,39215,3675.0,1054,261
2003,Genève,117447.0,7840,11766,421,7827,70186,3477.0,15930,274
2003,Glaris,8609.0,627,933,6,1133,5431,478.0,0,227
2003,Grisons,124416.0,8105,26275,1123,10421,69119,4670.0,4702,651
2003,Jura,20629.0,1868,5432,98,847,10256,1261.0,867,304
2003,Lucerne,90527.0,4455,23451,841,7780,44922,4754.0,4324,257
2003,Neuchâtel,61963.0,3040,6290,240,2303,40845,3371.0,5874,368
2003,Nidwald,7803.0,777,2966,10,348,3315,335.0,53,203
2003,Obwald,12275.0,2465,1789,319,1741,5299,661.0,2,372
2003,Région lémanique,464455.0,27707,70428,2495,25676,272566,18681.0,46902,344
2003,Saint-Gall,171784.0,5695,41332,1919,26237,82484,10716.0,3401,375
2003,Schaffhouse,17817.0,617,3932,166,1138,10387,1577.0,0,240
2003,Schwytz,35403.0,379,9957,558,6546,15440,2483.0,40,265
2003,Soleure,57043.0,4233,9872,990,6045,30548,3244.0,2109,232
2003,Suisse centrale,180148.0,9937,46184,2261,21459,86250,9481.0,4578,259
2003,Suisse du Nord-Ouest,210391.0,15597,39717,2297,23673,106151,14388.0,8568,249
2003,Suisse orientale,404383.0,21479,95381,3604,47167,205806,22138.0,8806,382
2003,Tessin,107954.0,9348,23395,1570,7395,54342,4508.0,7397,356
2003,Thurgovie,63882.0,5837,18996,243,5716,28751,3704.0,635,276
2003,Total,2310714.0,133683,450250,20042,201253,1216184,116789.0,172513,313
2003,Uri,5237.0,709,1070,20,641,2484,312.0,0,151
2003,Valais,100225.0,10599,19224,1424,8374,51505,4991.0,4108,369
2003,Vaud,246783.0,9268,39438,650,9475,150875,10213.0,26864,381
2003,Zoug,28903.0,1152,6951,513,4403,14790,936.0,159,280
2003,Zurich,474259.0,22117,90240,4026,42489,235483,22718.0,57187,373
2004,Appenzell Rh.-Ext.,12414.0,488,1210,63,1855,8156,642.0,0,234
2004,Appenzell Rh.-Int.,4502.0,114,1174,99,595,2193,245.0,83,300
2004,Argovie,132716.0,7796,33768,3535,16329,56379,7096.0,7814,237
2004,Berne,288879.0,11890,51634,2206,21767,153026,15768.0,32588,303
2004,Bâle-Campagne,67534.0,4024,10570,561,4459,40387,6290.0,1243,255
2004,Bâle-Ville   2),9201.0,828,3093,96,1158,3524,502.0,0,421
2004,Espace Mittelland,506933.0,27598,92344,4552,36362,276008,27378.0,42691,301
2004,Fribourg,72242.0,3766,15369,359,5361,42558,3759.0,1070,293
2004,Genève,123964.0,3653,14711,450,8324,75648,3333.0,17845,292
2004,Glaris,8697.0,593,1657,24,963,4974,486.0,0,228
2004,Grisons,125928.0,6324,33077,811,10370,66330,4824.0,4192,674
2004,Jura,19131.0,1039,4671,5,922,10306,1315.0,873,277
2004,Lucerne,90564.0,5507,22144,317,3792,50405,3944.0,4455,256
2004,Neuchâtel,61261.0,2688,6887,47,2488,39633,3356.0,6162,367
2004,Nidwald,6768.0,564,1816,154,438,3456,339.0,0,173
2004,Obwald,9276.0,1092,1315,207,1223,4922,516.0,1,280
2004,Région lémanique,492847.0,24613,85423,1958,27607,284392,19831.0,49023,368
2004,Saint-Gall,171518.0,3462,39440,2160,25907,84892,11270.0,4388,372
2004,Schaffhouse,20005.0,1214,3918,230,1239,11808,1577.0,19,270
2004,Schwytz,29102.0,265,5357,119,5616,15185,2522.0,38,216
2004,Soleure,65420.0,8215,13783,1935,5824,30485,3180.0,1998,265
2004,Suisse centrale,165700.0,9896,35901,851,14508,91208,8682.0,4653,237
2004,Suisse du Nord-Ouest,209451.0,12648,47431,4192,21946,100290,13888.0,9057,247
2004,Suisse orientale,405625.0,20139,96928,4650,46354,205376,22864.0,9315,383
2004,Tessin,104531.0,7015,18597,1924,8576,57424,4382.0,6613,343
2004,Thurgovie,62561.0,7944,16452,1263,5425,27023,3820.0,633,270
2004,Total,2357941.0,119680,468728,22804,192061,1255634,118924.0,180117,321
2004,Uri,4313.0,102,656,-13,641,2588,340.0,0,123
2004,Valais,103322.0,12519,15299,910,9823,54851,5497.0,4423,376
2004,Vaud,265561.0,8441,55413,598,9460,153893,11001.0,26755,416
2004,Zoug,25677.0,2366,4613,67,2798,14652,1021.0,159,248
2004,Zurich,472854.0,17771,92100,4673,36708,240936,21900.0,58765,378
2005,Appenzell Rh.-Ext.,14476.0,191,2966,10,1939,8563,807.0,0,274
2005,Appenzell Rh.-Int.,6543.0,23,3160,18,636,2370,249.0,88,435
2005,Argovie,150523.0,11877,33344,2048,18702,67847,8029.0,8676,266
2005,Berne,308441.0,9786,56413,1970,21715,167125,17281.0,34151,323
2005,Bâle-Campagne,68007.0,2555,10629,449,4345,42323,6555.0,1151,256
2005,Bâle-Ville   2),6141.0,80,619,21,958,3845,618.0,0,282
