annee,canton,Total,Constructions,Amélio-,Acquisition,Entretien Construction,Entretien Exploitation,Administration,Surveillance Policiere
1999,Espace Mittelland,394499.0,55018,136132,1647,28589,97068,23030.0,53016
1999,Fribourg,54095.0,2478,14104,863,2783,16599,5062.0,12206
1999,Genève,45140.0,697,6056,191,4811,18248,3670.0,11467
1999,Glaris,11100.0,202,1695,89,1572,3582,1094.0,2866
1999,Grisons,227804.0,1553,119810,3137,37275,48035,6609.0,11387
1999,Jura,20828.0,3408,4911,33,2777,6948,1235.0,1516
1999,Lucerne,69108.0,1061,25689,1926,7444,17333,3715.0,11939
1999,Neuchâtel,64967.0,24406,10644,790,2995,14494,5907.0,5731
1999,Nidwald,12405.0,156,3683,64,1133,4984,501.0,1885
1999,Obwald,4619.0,471,63,0,831,1346,372.0,1535
1999,Région lémanique,318416.0,11766,95044,10764,26219,113234,15840.0,45549
1999,Schaffhouse,14346.0,433,2294,12,646,4542,1438.0,4980
1999,Schwytz,35720.0,308,16847,83,3706,8715,2474.0,3587
1999,Soleure,37927.0,481,13386,-39,801,13317,3386.0,6596
1999,St. Gall,133937.0,45308,28901,11480,15968,21860,1492.0,8927
1999,Suisse centrale,490948.0,65516,194705,18111,61135,99510,14418.0,37553
1999,Suisse du Nord-Ouest,323199.0,66417,105588,4579,29386,76064,9371.0,31794
1999,Tessin,148886.0,79664,19125,3092,8180,29386,5942.0,3497
1999,Thurgovie,64091.0,15906,22067,2274,3150,13689,1126.0,5879
1999,Total,2039943.0,304676,647712,44619,200199,524660,86547.0,231534
1999,Uri,25788.0,346,8653,26,2990,8334,1565.0,3875
1999,Valais,164694.0,899,71058,8856,12975,48093,6073.0,16740
1999,Vaud,108582.0,10170,17930,1717,8433,46893,6097.0,17342
1999,Zentralschweiz,183388.0,3364,74291,2272,16812,47243,11395.0,28010
1999,Zoug,35748.0,1022,19356,173,708,6531,2768.0,5189
1999,Zurich,180607.0,22933,22824,4154,29875,62155,6551.0,32115
2000,Appenzell Rh.-Ext.,33320.0,771,17620,536,1967,7064,1759.0,3603
2000,Appenzell Rh.-Int.,4911.0,179,1761,64,356,1426,612.0,514
2000,Argovie,138273.0,35716,68407,-892,6260,19076,4234.0,5472
2000,Berne,191277.0,28383,68775,0,21628,38099,7652.0,26740
2000,Bâle-Campagne,121808.0,35781,26621,12840,16862,16149,2663.0,10892
2000,Bâle-Ville,108885.0,27147,9224,285,7896,43508,4708.0,16117
2000,Espace Mittelland,375080.0,50411,122180,2406,31446,88493,23431.0,56714
2000,Fribourg,53554.0,1464,16356,251,1991,14937,6030.0,12526
2000,Genève,51135.0,0,10756,778,3434,19338,3503.0,13326
2000,Glaris,14570.0,4118,1458,977,1340,2745,1076.0,2857
2000,Grisons,219633.0,17815,96390,2501,27529,56057,8063.0,11278
2000,Jura,23157.0,1790,4956,29,3639,7262,1258.0,4222
2000,Lucerne,81149.0,0,36913,4350,7045,14836,3989.0,14015
2000,Neuchâtel,68784.0,18765,17619,2091,3354,15052,6002.0,5901
2000,Nidwald,9827.0,0,1786,124,1377,4132,544.0,1864
2000,Obwald,3987.0,171,104,0,1063,1064,386.0,1198
2000,Région lémanique,312950.0,16696,105020,2932,19241,106447,14652.0,47962
2000,Schaffhouse,13855.0,45,1457,-14,702,5188,1513.0,4964
2000,Schwytz,36786.0,287,18153,13,2636,7943,4076.0,3677
2000,Soleure,38308.0,9,14474,35,834,13143,2489.0,7325
2000,St. Gall,121824.0,34497,31116,6126,14513,23149,3354.0,9069
2000,Suisse centrale,455963.0,63612,169657,10040,49323,106613,17555.0,39164
2000,Suisse du Nord-Ouest,368966.0,98644,104252,12233,31018,78733,11605.0,32481
2000,Tessin,127747.0,35933,45970,2208,7426,25604,7108.0,3497
2000,Thurgovie,47850.0,6187,19855,-150,2916,10984,1178.0,6879
2000,Total,2034622.0,289444,645960,38766,174523,538299,97652.0,249979
2000,Uri,23604.0,486,8172,85,2413,6550,1392.0,4508
2000,Valais,155644.0,0,79091,1583,11885,40762,5133.0,17190
2000,Vaud,106171.0,16696,15173,571,3922,46347,6016.0,17446
2000,Zentralschweiz,197294.0,3817,80868,4690,15289,40939,13520.0,38170
2000,Zoug,41941.0,2873,15740,118,755,6414,3133.0,12908
2000,Zurich,196619.0,20331,18012,4257,20778,91470,9780.0,31991
2001,Appenzell Rh.-Ext.,33389.0,830,10367,595,8693,6562,2542.0,3800
2001,Appenzell Rh.-Int.,6485.0,330,3299,74,158,1459,651.0,514
2001,Argovie,153341.0,35111,67027,-4,6781,23724,4677.0,16025
2001,Berne,194172.0,11249,62415,0,22841,62713,7814.0,27139
2001,Bâle-Campagne,117538.0,41605,25999,1815,7666,25985,2512.0,11955
2001,Bâle-Ville,117988.0,24354,18188,317,10069,42229,4798.0,18033
2001,Espace Mittelland,381503.0,21619,122532,563,41428,107960,23947.0,63453
2001,Fribourg,57178.0,6563,13730,42,5721,11798,6089.0,13235
2001,Genève,51033.0,200,11643,94,1697,22437,3650.0,11312
2001,Glaris,16036.0,5765,1916,120,1933,2425,1129.0,2748
2001,Grisons,217960.0,18773,94868,2243,19904,64187,6490.0,11495
2001,Jura,31020.0,-10,10643,356,6377,7193,1314.0,5147
2001,Lucerne,82298.0,872,27856,2852,12759,20708,5122.0,12130
2001,Neuchâtel,49628.0,3256,15165,165,3313,14410,6010.0,7309
2001,Nidwald,9638.0,117,490,0,1603,4994,437.0,1997
2001,Obwald,5668.0,-10,1243,19,1010,1769,368.0,1268
2001,Région lémanique,324342.0,15811,105722,5569,18711,112071,19631.0,46827
2001,Schaffhouse,14675.0,0,2096,-49,1158,4183,1480.0,5807
2001,Schwytz,35203.0,199,15435,1,3311,8271,4295.0,3691
2001,Soleure,49505.0,561,20579,0,3176,11846,2720.0,10623
2001,St. Gall,118214.0,43683,24486,3477,16871,19459,944.0,9293
2001,Suisse centrale,463938.0,76421,151248,7138,56535,114565,13756.0,44274
2001,Suisse du Nord-Ouest,388867.0,101070,111214,2128,24516,91938,11987.0,46013
2001,Tessin,150222.0,37654,59681,3353,2539,35200,8299.0,3497
2001,Thurgovie,57179.0,7040,14216,678,7818,16290,520.0,10617
2001,Total,2103511.0,266110,660066,28665,214843,566537,100287.0,267003
2001,Uri,18626.0,0,4581,166,2481,5820,1403.0,4176
2001,Valais,171240.0,0,81803,5286,7736,48920,9747.0,17748
2001,Vaud,102069.0,15611,12276,189,9278,40714,6234.0,17767
2001,Zentralschweiz,180880.0,1955,59465,4406,21275,49707,14729.0,29344
2001,Zoug,29447.0,777,9860,1368,111,8145,3104.0,6082
2001,Zurich,213759.0,11580,50204,5508,49839,55096,7938.0,33595
2002,Appenzell Rh.-Ext.,39148.0,1843,20382,1045,5230,4822,1731.0,4096
2002,Appenzell Rh.-Int.,9481.0,3066,3604,59,175,1357,667.0,554
2002,Argovie,130753.0,25414,48078,-1889,15085,23671,4379.0,16015
2002,Berne,178092.0,8999,40180,0,24739,64885,7889.0,31400
2002,Bâle-Campagne,118726.0,47042,21827,1840,9312,23192,2713.0,12800
2002,Bâle-Ville,100953.0,6905,16318,121,10766,36104,5334.0,25405
2002,Espace Mittelland,361027.0,15580,90141,2218,44073,112249,25605.0,71161
2002,Fribourg,52664.0,3997,8642,1446,6242,12093,6183.0,14061
2002,Genève,55602.0,1700,11101,109,3540,18200,4811.0,16141
2002,Glaris,12777.0,1423,1998,520,2163,2433,1464.0,2776
2002,Grisons,228295.0,19607,98927,1728,8928,81263,5988.0,11854
2002,Jura,28670.0,61,9844,104,5221,7120,1527.0,4793
2002,Lucerne,86350.0,0,25378,2670,15811,21284,6402.0,14805
2002,Neuchâtel,44325.0,393,10240,668,1969,16006,7144.0,7905
2002,Nidwald,10610.0,591,1070,29,1204,5216,296.0,2205
2002,Obwald,3912.0,0,262,35,1031,824,372.0,1387
2002,Région lémanique,306733.0,8071,91460,2317,20919,108167,21581.0,54216
2002,Schaffhouse,15974.0,0,1923,45,1466,4464,1546.0,6531
2002,Schwytz,40561.0,1170,14904,3,6923,6848,3351.0,7361
2002,Soleure,57276.0,2130,21235,0,5902,12145,2862.0,13002
2002,St. Gall,124167.0,43403,22227,2831,20022,25196,960.0,9527
2002,Suisse centrale,481696.0,74158,159959,6808,46664,135313,12886.0,45910
2002,Suisse du Nord-Ouest,350432.0,79361,86223,72,35163,82967,12426.0,54220
2002,Tessin,136254.0,29709,56106,6432,2860,30128,7475.0,3545
2002,Thurgovie,51854.0,4816,10898,580,8680,15778,530.0,10572
2002,Total,2043889.0,214677,570242,33258,241655,569459,102217.0,312376
2002,Uri,17836.0,0,3353,57,2449,6932,1408.0,3637
2002,Valais,155606.0,0,67756,1748,8558,49973,9950.0,17620
2002,Vaud,95525.0,6371,12603,460,8821,39994,6820.0,20455
2002,Zentralschweiz,193460.0,4584,51126,6653,28223,48478,14855.0,39540
2002,Zoug,34191.0,2823,6159,3859,805,7374,3026.0,10145
2002,Zurich,214286.0,3215,35226,8762,63752,52157,7390.0,43784
2003,Appenzell Rh.-Ext.,29517.0,720,11838,1200,3423,5832,1972.0,4532
2003,Appenzell Rh.-Int.,5568.0,261,2102,399,210,1379,657.0,560
2003,Argovie,130059.0,22771,40681,-2337,18796,32251,3405.0,14492
2003,Berne,220351.0,8852,64378,0,26152,73468,7079.0,40421
2003,Bâle-Campagne,137895.0,54910,25851,1701,7727,31584,3006.0,13116
2003,Bâle-Ville,97051.0,6010,17014,82,5127,46023,7030.0,15766
2003,Espace Mittelland,424011.0,25152,120444,5953,39274,125756,24015.0,83414
2003,Fribourg,64148.0,7893,13243,1689,5569,15541,5543.0,14670
2003,Genève,65302.0,2989,12362,147,7939,20946,5397.0,15522
2003,Glaris,12280.0,81,4021,59,1573,2534,1144.0,2869
2003,Grisons,236919.0,11905,110196,2029,13303,78266,6268.0,14953
2003,Jura,22500.0,0,6543,38,2055,7757,1483.0,4623
2003,Lucerne,83774.0,264,20486,1566,17786,24753,4172.0,14746
2003,Neuchâtel,44969.0,1998,11459,360,1378,16202,6810.0,6761
2003,Nidwald,12265.0,331,1197,75,1977,5700,669.0,2316
2003,Obwald,6774.0,0,1796,21,985,2269,330.0,1373
2003,Région lémanique,321558.0,27947,70413,4527,19817,121630,24724.0,52501
2003,Schaffhouse,22140.0,0,6668,17,2434,4603,1573.0,6845
2003,Schwytz,49605.0,1137,17229,1,9980,10514,3241.0,7501
2003,Soleure,72043.0,6409,24821,3866,4120,12788,3100.0,16939
2003,St. Gall,139484.0,56601,16397,5281,16467,33906,947.0,9885
2003,Suisse centrale,501868.0,77633,161196,10280,46427,143116,13202.0,50015
2003,Suisse du Nord-Ouest,365005.0,83691,83546,-554,31650,109858,13441.0,43374
2003,Tessin,134495.0,33157,50636,1248,3784,30070,7575.0,8026
2003,Thurgovie,55960.0,8065,9974,1295,9017,16596,641.0,10371
2003,Total,2166955.0,255524,576991,30034,231577,653832,101927.0,317069
2003,Uri,29269.0,883,12105,64,4376,7740,1457.0,2645
2003,Valais,168658.0,22629,50100,3109,10524,51479,12453.0,18364
2003,Vaud,87598.0,2329,7951,1271,1354,49205,6874.0,18615
2003,Zentralschweiz,219413.0,4879,59054,5751,37498,60975,13153.0,38101
2003,Zoug,37726.0,2264,6241,4024,2394,9999,3284.0,9520
2003,Zurich,200606.0,3066,31703,2828,53128,62427,5817.0,41638
2004,Appenzell Rh.-Ext.,38554.0,0,20573,357,2955,8435,1987.0,4246
2004,Appenzell Rh.-Int.,7247.0,552,3166,146,248,1821,744.0,571
2004,Argovie,159071.0,14442,76833,-2960,18697,30891,4471.0,16699
2004,Berne,215610.0,2653,59222,0,27392,77228,7850.0,41265
2004,Bâle-Campagne,117639.0,40484,24597,1437,8410,24943,3956.0,13811
2004,Bâle-Ville,85337.0,3198,11704,308,8307,35569,5236.0,21015
2004,Espace Mittelland,435801.0,13763,128389,6409,42669,135143,24703.0,84724
2004,Fribourg,70455.0,10176,17881,2065,4469,16125,5537.0,14202
2004,Genève,60277.0,2563,10355,11,7166,21298,5241.0,13643
2004,Glaris,9159.0,171,1398,119,1182,2314,1081.0,2894
2004,Grisons,238625.0,47993,82443,1188,11962,74382,4617.0,16041
2004,Jura,21516.0,494,2266,42,4552,8167,1525.0,4469
2004,Lucerne,86448.0,15,26169,2494,14261,23905,4308.0,15297
2004,Neuchâtel,56314.0,215,20322,2430,1304,17692,6720.0,7631
2004,Nidwald,11433.0,435,1045,27,1406,5652,670.0,2199
2004,Obwald,4647.0,0,527,50,1402,951,308.0,1408
2004,Région lémanique,311846.0,4908,82050,9946,24572,117249,23965.0,49155
2004,Schaffhouse,20298.0,0,5483,46,2423,4022,1478.0,6845
2004,Schwytz,52210.0,1511,20806,0,8631,9426,3449.0,8389
2004,Soleure,71906.0,225,28698,1872,4952,15931,3071.0,17157
2004,St. Gall,118558.0,49627,13122,2433,16258,25629,968.0,10520
2004,Suisse centrale,497040.0,109293,142510,4663,44283,133706,11511.0,51073
2004,Suisse du Nord-Ouest,362047.0,58124,113134,-1215,35414,91403,13663.0,51525
2004,Tessin,131887.0,36592,41256,1856,4576,31990,7304.0,8312
2004,Thurgovie,64599.0,10950,16325,374,9255,17103,636.0,9956
2004,Total,2157926.0,232257,606930,34155,230391,623358,100347.0,330486
2004,Uri,18461.0,542,2333,56,4439,6950,1352.0,2790
2004,Valais,168667.0,0,64491,8522,10817,54137,12098.0,18601
2004,Vaud,82902.0,2345,7204,1413,6589,41814,6626.0,16911
2004,Zentralschweiz,214581.0,4475,61888,7907,33466,54053,13289.0,39507
2004,Zoug,41382.0,1972,11008,5280,3327,7169,3202.0,9424
2004,Zurich,204724.0,5101,37704,4588,45413,59814,5913.0,46190
2005,Appenzell Rh.-Ext.,35096.0,0,16025,1044,3529,8363,1876.0,4260
2005,Appenzell Rh.-Int.,6222.0,53,2557,79,130,2004,749.0,648
2005,Argovie,187222.0,25352,85959,1815,22495,28633,4685.0,18283
2005,Berne,263133.0,670,59107,0,66386,81405,8229.0,47336
2005,Bâle-Campagne,109584.0,34507,23317,934,5621,25357,3992.0,15855
2005,Bâle-Ville,104750.0,11096,27309,71,8153,33803,5558.0,18760
2005,Espace Mittelland,516834.0,39034,130379,7155,80901,141956,24958.0,92451
2005,Fribourg,86512.0,30178,9529,1920,5243,18607,5479.0,15556
2005,Genève,61630.0,2739,6434,38,4554,31010,5586.0,11270
2005,Glaris,9796.0,2,2287,15,1075,2367,1098.0,2951
2005,Grisons,232208.0,42003,72638,1488,13751,81018,4150.0,17159
2005,Jura,23207.0,475,3665,218,3893,8943,1558.0,4455
