,agglo_index,agglo,type_index,type,2011,2012,2013,2014
119,371920.0,Biel/Bienne: agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,6.83,4.52,5.74,5.78
120,1061901.0,Lucerne: ville-centre,2.0,Homicides,0.0,0.0,0.0,1.0
121,1061901.0,Lucerne: ville-centre,3.0,Homicides pour 10'000 habitants,0.0,0.0,0.0,0.01
122,1061901.0,Lucerne: ville-centre,4.0,Vols de voitures,20.0,25.0,9.0,14.0
123,1061901.0,Lucerne: ville-centre,5.0,Vols de voitures pour 1000 habitants,0.26,0.32,0.11,0.17
124,1061901.0,Lucerne: ville-centre,6.0,Vols par effraction dans les logements,262.0,219.0,287.0,228.0
125,1061901.0,Lucerne: ville-centre,7.0,Vols par effraction dans les logements pour 1000 habitants,3.38,2.8,3.61,2.83
126,1061901.0,Lucerne: ville-centre,8.0,Personnes tuées dans les accidents de la route,4.0,2.0,2.0,0.0
127,1061901.0,Lucerne: ville-centre,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.52,0.26,0.25,0.0
128,1061901.0,Lucerne: ville-centre,10.0,Blessés graves dans les accidents de la route,44.0,40.0,43.0,35.0
129,1061901.0,Lucerne: ville-centre,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,5.68,5.12,5.41,4.35
130,1061910.0,Lucerne: ceinture de l'agglomération,2.0,Homicides,1.0,0.0,0.0,1.0
131,1061910.0,Lucerne: ceinture de l'agglomération,3.0,Homicides pour 10'000 habitants,0.08,0.0,0.0,0.01
132,1061910.0,Lucerne: ceinture de l'agglomération,4.0,Vols de voitures,34.0,19.0,15.0,15.0
133,1061910.0,Lucerne: ceinture de l'agglomération,5.0,Vols de voitures pour 1000 habitants,0.26,0.14,0.11,0.11
134,1061910.0,Lucerne: ceinture de l'agglomération,6.0,Vols par effraction dans les logements,219.0,203.0,299.0,270.0
135,1061910.0,Lucerne: ceinture de l'agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,1.66,1.52,2.22,1.99
136,1061910.0,Lucerne: ceinture de l'agglomération,8.0,Personnes tuées dans les accidents de la route,3.0,5.0,2.0,2.0
137,1061910.0,Lucerne: ceinture de l'agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.23,0.37,0.15,0.15
138,1061910.0,Lucerne: ceinture de l'agglomération,10.0,Blessés graves dans les accidents de la route,50.0,45.0,70.0,51.0
139,1061910.0,Lucerne: ceinture de l'agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,3.78,3.37,5.19,3.76
140,1061920.0,Lucerne: agglomération,2.0,Homicides,1.0,0.0,0.0,2.0
141,1061920.0,Lucerne: agglomération,3.0,Homicides pour 10'000 habitants,0.05,0.0,0.0,0.01
142,1061920.0,Lucerne: agglomération,4.0,Vols de voitures,54.0,44.0,24.0,29.0
143,1061920.0,Lucerne: agglomération,5.0,Vols de voitures pour 1000 habitants,0.26,0.21,0.11,0.13
144,1061920.0,Lucerne: agglomération,6.0,Vols par effraction dans les logements,481.0,422.0,586.0,498.0
145,1061920.0,Lucerne: agglomération,7.0,Vols par effraction dans les logements pour 1000 habitants,2.29,1.99,2.74,2.3
146,1061920.0,Lucerne: agglomération,8.0,Personnes tuées dans les accidents de la route,7.0,7.0,4.0,2.0
147,1061920.0,Lucerne: agglomération,9.0,Personnes tuées dans les accidents de la route pour 10'000 habitants,0.33,0.33,0.19,0.09
148,1061920.0,Lucerne: agglomération,10.0,Blessés graves dans les accidents de la route,94.0,85.0,113.0,86.0
149,1061920.0,Lucerne: agglomération,11.0,Blessés graves dans les accidents de la route pour 10'000 habitants,4.48,4.01,5.27,3.98
