,gravite_index,gravite,ruralite_index,ruralite,voie_index,voie,vitesse_index,vitesse,temps_index,temps,signalisation_index,signalisation,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
52,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,30.0,10-30 Km/h,115.0,Neige fondante,157.0,Passage pour piéton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,30.0,10-30 Km/h,115.0,Neige fondante,158.0,Autre priorité,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,30.0,10-30 Km/h,116.0,Autre état de la route,150.0,Aucune signalisation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,30.0,10-30 Km/h,116.0,Autre état de la route,151.0,Signalisation des pistes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,30.0,10-30 Km/h,116.0,Autre état de la route,152.0,Signalisation lumineuse en service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,30.0,10-30 Km/h,116.0,Autre état de la route,153.0,Priorité au tram / train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,30.0,10-30 Km/h,116.0,Autre état de la route,154.0,Priorité de droite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,30.0,10-30 Km/h,116.0,Autre état de la route,155.0,Cédez le passage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,30.0,10-30 Km/h,116.0,Autre état de la route,156.0,Stop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,30.0,10-30 Km/h,116.0,Autre état de la route,157.0,Passage pour piéton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,30.0,10-30 Km/h,116.0,Autre état de la route,158.0,Autre priorité,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,50.0,40-50 Km/h,110.0,Sec,150.0,Aucune signalisation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,50.0,40-50 Km/h,110.0,Sec,151.0,Signalisation des pistes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,50.0,40-50 Km/h,110.0,Sec,152.0,Signalisation lumineuse en service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,50.0,40-50 Km/h,110.0,Sec,153.0,Priorité au tram / train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,50.0,40-50 Km/h,110.0,Sec,154.0,Priorité de droite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,50.0,40-50 Km/h,110.0,Sec,155.0,Cédez le passage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,50.0,40-50 Km/h,110.0,Sec,156.0,Stop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,50.0,40-50 Km/h,110.0,Sec,157.0,Passage pour piéton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,50.0,40-50 Km/h,110.0,Sec,158.0,Autre priorité,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,50.0,40-50 Km/h,111.0,Humide,150.0,Aucune signalisation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,50.0,40-50 Km/h,111.0,Humide,151.0,Signalisation des pistes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,315.0,Accidents avec blessés légers,10.0,En localité,50.0,Autoroute,50.0,40-50 Km/h,111.0,Humide,152.0,Signalisation lumineuse en service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
